0,illumination,0.00,100,0.0200 SEEDS,EOS,f415d689c0bc0b3d83ea8f25af8dd22e30fe7fa2848e0254a4c5b87682670384
1,illumination,0.04,100,4.3200 SEEDS,EOS,8b485cd0123df079a1abbf482e6fc228fbe6dd8e468c59638f7823d590b97874
2,illumination,0.65,100,65.4600 SEEDS,BTC,4682a8241ed4041aa2f2e0381b7c5c6869a4914c211614d4ca981d57736c5bd0
3,paulcarvalho,54.68,100,5467.7000 SEEDS,usd,20200412_illumination_paulcarvalho_0001_USD546770
4,thealchemist,0.24,100,23.9600 SEEDS,EOS,bd93a4dc7d683f66497a073b590026178f5da6ee6807f9c23248f127453c354f
5,tchoptelacc1,4.06,100,406.3100 SEEDS,BTC,cc5ccbed47e17f703ee3515a64b8ef0de3adb0bd35fbcadfb61c568f9ee6eeea
6,maailmatants,0.33,100,32.8900 SEEDS,BTC,0bd79bf90f00f9007570139ecc5249de902244c52fe3db571c4447a81bc1200e
7,mattportman1,0.24,100,23.9400 SEEDS,BTC,28e1dd765f30a1738dec4f1a5638a5b390292856911c198bfcc89452120a1210
8,marketorg254,0.23,100,22.8700 SEEDS,BTC,4556a0bd5fe963b59921d7cabbc624c7ca35dfeb0bfffaca1cd015fb05d4414e
9,wildelderoak,5.01,100,500.7700 SEEDS,BTC,c9a9a78ce397ab437cd3f7c280744315b1b853326fc82510cc6dc7187f637a65
10,illumination,0.38,100,37.8800 SEEDS,BTC,196cfe561b32f8992c7442646839420993ed5f19fde643dc3bc79ff1d36b0594
11,illumination,0.24,100,24.1300 SEEDS,BTC,9a121116d1d1a5895d5ca23afbf4b67ea986246534df280a74c8ccbeac497a3b
12,martinsseeds,5.59,100,559.2100 SEEDS,EOS,d0a82210a31b385c2767c4b95af2f2b1d03cce92f96d5ec90da0431fc2a21acb
13,paulcarvalho,108.75,100,10875.0000 SEEDS,usd,20200418_illumination_paulcarvalho_0002_USD1087500
14,kyliathymeta,149.82,100,14982.0000 SEEDS,usd,20200420_illumination_kyliathymeta_0003_USD1498200
15,illumination,0.12,100,12.0300 SEEDS,BTC,48033098e6e0eb53873d698d19acf11c6dfd1820d6b244ec678186a596ded76f
16,mountainseed,271.50,100,27150.0700 SEEDS,BTC,d9fbc401e64d7ca7ae861146117af9e5184ab828de34ff822a31c85447e08bee
17,abrancusi123,12.21,100,1221.3800 SEEDS,BTC,df1af1186f34fa7acc553981e3225c3d606105f6fe0425331bca8f820c20bf7f
18,rbretminster,72.25,100,7225.4200 SEEDS,BTC,112acf5b454ced79a79c918da3c1ec375cc4fcc8b3850d9f8a7c806562de8821
19,rpiesveloces,21.23,100,2123.3900 SEEDS,BTC,76973ecf9945c8f9de56e413aa625bf60e040e00d7fddeef381cdd0c1d260e2e
20,dharmadufman,10.96,100,1096.3000 SEEDS,EOS,bfadb29845700a1c27ea7eb934e6303f55c478ec309a34679340fee72b5bc00a
21,abrancusi123,21.96,100,2196.3900 SEEDS,BTC,ffcce571531a57b89ae2ca0bcc0dc86d470d6c6e940ff3ee589e34ab8450a7f9
22,michaelduwe1,3.01,100,301.1500 SEEDS,EOS,2a3bba3be894fd53f80445a52a9c0f97af368177c416bb5ef9277758eb34d530
23,vladlausevic,40.13,100,4013.0700 SEEDS,BTC,ba1b4d0e464ff48ab52c0108fa1f312f511e4411ee1838c44be4a549a85c1dae
24,neosapien151,19.91,100,1990.8800 SEEDS,BTC,94733a0eb0f4808a4a8bc47fd30206833ecbd194d0848b27c2fd4319a780e741
25,inheritslove,274.77,100,27476.5500 SEEDS,BTC,644f8ce5628bf1756191c774a1a5120216bea008a0d3295b483aee4baf8461d1
26,awakepushkar,91.01,100,9101.3700 SEEDS,BTC,ce5127e31c299e66be5c28d22a6a9cb60354b8021a5a011436f1fdd03272ff97
27,pollinatenow,7.04,100,703.7300 SEEDS,EOS,4b4c5ece8b7272f3ef20904ce9dfcd7fd0550382cd416011b126037aab66f2e2
28,garinagoseed,0.97,100,97.2200 SEEDS,BTC,d80d84fa44adcc47fb105fc9681dfe5afb6d7452b95d82222ae42241e3f6a490
29,antonisseeds,3.98,100,398.5000 SEEDS,EOS,19203a7d3a22f510f2d6b52cfe3588abe536f501ba6bf9af21640bb8c2932f5d
30,wildelderoak,10.01,100,1001.0700 SEEDS,BTC,28b5ea7c90f732187b20059e2979f1ce34aff552a8553cee38f45517d77d6c3f
31,iamphoenix33,275.17,100,27517.3300 SEEDS,btc,7dbac58366ff8a424bb407267bad6553d9037313b9bec5d82380579dd38c96ac
32,purwanoto251,12.66,100,1266.2600 SEEDS,BTC,f391d2625c86f23a2260efe6e5c268c937325c0e3a9e104e8c1a45fed2da70d1
33,jaclynjhin11,240.00,100,24000.0000 SEEDS,usd,20200604_treasury_jaclynjhin11_001_USD2400000
34,feedthebirds,33.19,100,3319.1000 SEEDS,BTC,e8235d85edcb17399e408473e9fd584b349573c16423972ec3d14cc09b4bdeac
35,seviinislost,22.05,100,2204.9100 SEEDS,BTC,10024283659063c64e0f0fcf8f16645f6634af4c6191587fd00b8096432f9034
36,thomasloffet,22.44,100,2243.6900 SEEDS,BTC,7b2ee36e9bd8fe26bd1f3e81ae9dc16daaf20e609eb8cec51294f7513130da3a
37,juliomonteir,19.99,100,1998.9300 SEEDS,BTC,137cd538fe79863f8baf41eb3efe92715e4d41adf3b9cde27e7b1010c48cc0f7
38,febudfuture1,45.09,100,4508.6000 SEEDS,BTC,2e4b9a4a990fcf6221c0e51c84253d25c222d6e80da2e8a1f7948dd3303167b8
